familia,funcion,argumento,requerido,default,control,choices,label
bivalores,bivalor_correlaciones,alpha_puntos,FALSE,0.8,numericInput,,Alpha puntos
bivalores,bivalor_correlaciones,edicion,TRUE,<requerido>,textInput,,Edicion
bivalores,bivalor_correlaciones,incluir_peru,FALSE,FALSE,checkboxInput,,Incluir peru
bivalores,bivalor_correlaciones,indicadores,TRUE,<requerido>,selectInput,,Indicadores
bivalores,bivalor_correlaciones,metodo,FALSE,"c(""spearman"", ""pearson"")",selectInput-multiple,spearman|pearson,Metodo
bivalores,bivalor_correlaciones,paleta_cor,FALSE,"c(""rb"", ""viridis"")",selectInput-multiple,rb|viridis,Paleta cor
bivalores,bivalor_correlaciones,regiones,FALSE,"""ALL""",selectInput,,Regiones
bivalores,bivalor_correlaciones,usar_codigos,FALSE,TRUE,checkboxInput,,Usar codigos
bivalores,bivalor_dispersion,color_mono,FALSE,"""#3B5B92""",textInput,,Color mono
bivalores,bivalor_dispersion,edicion,TRUE,<requerido>,textInput,,Edicion
bivalores,bivalor_dispersion,highlight_color,FALSE,"""#D7301F""",textInput,,Highlight color
bivalores,bivalor_dispersion,highlight_regiones,FALSE,character(0),textInput,,Highlight regiones
bivalores,bivalor_dispersion,incluir_peru,FALSE,FALSE,checkboxInput,,Incluir peru
bivalores,bivalor_dispersion,ind_x,TRUE,<requerido>,textInput,,Ind x
bivalores,bivalor_dispersion,ind_y,TRUE,<requerido>,textInput,,Ind y
bivalores,bivalor_dispersion,modo,FALSE,"c(""normal"", ""resaltar"")",selectInput-multiple,normal|resaltar,Modo
bivalores,bivalor_dispersion,mostrar_leyenda,FALSE,TRUE,checkboxInput,,Mostrar leyenda
bivalores,bivalor_dispersion,paleta,FALSE,"c(""ipe"", ""okabe_ito"", ""viridis"", ""mono"")",selectInput-multiple,ipe|okabe_ito|viridis|mono,Paleta
bivalores,bivalor_dispersion,regiones,FALSE,"""ALL""",selectInput,,Regiones
bivalores,bivalor_dispersion,usar_codigos,FALSE,TRUE,checkboxInput,,Usar codigos
bivalores,bivalor_largo,col_x,FALSE,"""#355C7D""",textInput,,Col x
bivalores,bivalor_largo,col_y,FALSE,"""#35B778""",textInput,,Col y
