funcion,argumento,default_txt,requerido,clase_default
incorer_set_region_groups,groups,,TRUE,missing
incorer_set_region_groups,replace,FALSE,FALSE,logical
general_radar,edicion,,TRUE,missing
general_radar,regiones,"""AUTO3""",FALSE,character
general_radar,usar_codigos,TRUE,FALSE,logical
general_radar,max_regiones,6,FALSE,numeric
general_radar,alpha,0.25,FALSE,numeric
general_radar,paleta,"c(""ipe"", ""okabe_ito"", ""viridis"")",FALSE,character
general_radar,mostrar_puntos,TRUE,FALSE,logical
general_radar,etiquetas_pilares,"c(""corto"", ""largo"")",FALSE,character
leer_total,ruta,"""https://incore-spaces.nyc3.digitaloceanspaces.com/documents/1752079464_INCORE_2025_OpenData_1752079464.xlsx""",FALSE,character
leer_total,hoja,1,FALSE,numeric
leer_total,edicion,NULL,FALSE,NULL
leer_total,anio,NULL,FALSE,NULL
leer_total,pilar,NULL,FALSE,NULL
leer_total,indicador,NULL,FALSE,NULL
leer_total,region,NULL,FALSE,NULL
leer_total,unidad,"""ALL""",FALSE,character
leer_total,usar_codigos,TRUE,FALSE,logical
leer_total,verbose,TRUE,FALSE,logical
bivalor_largo,ediciones,,TRUE,missing
bivalor_largo,ind_x,,TRUE,missing
bivalor_largo,ind_y,,TRUE,missing
bivalor_largo,regiones,"""ALL""",FALSE,character
bivalor_largo,usar_codigos,TRUE,FALSE,logical
bivalor_largo,incluir_peru,FALSE,FALSE,logical
bivalor_largo,col_x,"""#355C7D""",FALSE,character
bivalor_largo,col_y,"""#35B778""",FALSE,character
indc_largo,ediciones,,TRUE,missing
indc_largo,pilar,,TRUE,missing
indc_largo,indicadores,"""ALL""",FALSE,character
indc_largo,regiones,"""ALL""",FALSE,character
indc_largo,usar_codigos,TRUE,FALSE,logical
indc_largo,facetear,TRUE,FALSE,logical
indc_largo,facet_label_nombre,TRUE,FALSE,logical
indc_largo,paleta,"c(""ipe"", ""okabe_ito"", ""viridis"")",FALSE,character
indc_largo,mostrar_puntos,TRUE,FALSE,logical
resolver_regiones_grupos,regiones,"""ALL""",FALSE,character
resolver_regiones_grupos,usar_codigos,TRUE,FALSE,logical
valor_largo,ediciones,,TRUE,missing
valor_largo,pilar,,TRUE,missing
valor_largo,indicadores,"""ALL""",FALSE,character
valor_largo,regiones,"""ALL""",FALSE,character
valor_largo,usar_codigos,TRUE,FALSE,logical
valor_largo,facetear,TRUE,FALSE,logical
valor_largo,paleta,"c(""ipe"", ""okabe_ito"", ""viridis"")",FALSE,character
valor_largo,mostrar_puntos,TRUE,FALSE,logical
valor_largo,label_indicador,"c(""codigo"", ""nombre"")",FALSE,character
general_barras,edicion,,TRUE,missing
general_barras,pilar,NULL,FALSE,NULL
general_barras,regiones,"""ALL""",FALSE,character
general_barras,usar_codigos,TRUE,FALSE,logical
general_barras,incluir_peru,FALSE,FALSE,logical
general_barras,paleta,"c(""ipe"", ""okabe_ito"", ""viridis"")",FALSE,character
general_barras,mostrar_leyenda,FALSE,FALSE,logical
general_distribucion,edicion,,TRUE,missing
general_distribucion,modo,"c(""pilares"", ""general"")",FALSE,character
general_distribucion,regiones,"""ALL""",FALSE,character
general_distribucion,usar_codigos,TRUE,FALSE,logical
general_distribucion,tipo,"c(""boxplot"", ""violin"")",FALSE,character
general_distribucion,jitter,FALSE,FALSE,logical
