familia,argumento,presencia,n_funs,prop
bivalores,alpha_puntos,1,1,1
bivalores,col_x,1,1,1
bivalores,col_y,1,1,1
bivalores,color_mono,1,1,1
bivalores,edicion,2,2,1
bivalores,ediciones,1,1,1
bivalores,highlight_color,1,1,1
bivalores,highlight_regiones,1,1,1
bivalores,incluir_peru,3,3,1
bivalores,ind_x,2,2,1
bivalores,ind_y,2,2,1
bivalores,indicadores,1,1,1
bivalores,metodo,1,1,1
bivalores,modo,1,1,1
bivalores,mostrar_leyenda,1,1,1
bivalores,paleta,1,1,1
bivalores,paleta_cor,1,1,1
bivalores,regiones,3,3,1
bivalores,usar_codigos,3,3,1
general,alpha,1,1,1
general,anotar,1,1,1
general,color_abajo,1,1,1
general,color_arriba,1,1,1
general,color_mono,1,1,1
general,edicion,6,6,1
general,ediciones,3,3,1
general,esquema,1,1,1
general,etiquetas,1,1,1
general,etiquetas_pilares,1,1,1
general,expand_zoom,1,1,1
general,gt,1,1,1
general,incluir_peru,2,2,1
general,jitter,1,1,1
general,jitter_height,1,1,1
general,jitter_width,1,1,1
general,linea_promedio,1,1,1
general,mapa_sf,1,1,1
general,max_regiones,1,1,1
general,modo,2,2,1
general,mostrar_leyenda,4,4,1
general,mostrar_promedio,1,1,1
general,mostrar_puntos,2,2,1
general,ordenar,1,1,1
general,paleta,7,7,1
general,paleta_region,1,1,1
general,pilar,2,2,1
general,pilares,2,2,1
general,promedio_color,1,1,1
general,promedio_fill,1,1,1
general,promedio_nacional,1,1,1
general,promedio_shape,1,1,1
general,promedio_size,1,1,1
general,regiones,9,9,1
general,simplificar,1,1,1
general,tipo,1,1,1
general,usar_codigos,9,9,1
general,zoom,1,1,1
indicadores,alpha,1,1,1
indicadores,anotar,1,1,1
indicadores,color_abajo,1,1,1
indicadores,color_arriba,1,1,1
indicadores,color_mono,1,1,1
indicadores,edicion,7,7,1
indicadores,ediciones,3,3,1
indicadores,esquema,1,1,1
indicadores,etiquetas,1,1,1
indicadores,etiquetas_indicadores,1,1,1
indicadores,expand_zoom,1,1,1
indicadores,facet_label_nombre,1,1,1
indicadores,facetear,1,1,1
indicadores,gt,1,1,1
indicadores,incluir_peru,2,2,1
indicadores,indicador,4,4,1
indicadores,indicadores,4,4,1
indicadores,jitter,1,1,1
indicadores,jitter_height,1,1,1
indicadores,jitter_width,1,1,1
indicadores,largo,1,1,1
indicadores,linea_promedio,1,1,1
indicadores,mapa_sf,1,1,1
indicadores,max_regiones,1,1,1
indicadores,modo,1,1,1
indicadores,mostrar_leyenda,5,5,1
indicadores,mostrar_promedio,1,1,1
indicadores,mostrar_puntos,2,2,1
indicadores,ordenar,1,1,1
indicadores,paleta,7,7,1
indicadores,paleta_region,1,1,1
indicadores,pilar,8,8,1
indicadores,promedio_color,1,1,1
indicadores,promedio_fill,1,1,1
indicadores,promedio_shape,1,1,1
indicadores,promedio_size,1,1,1
indicadores,regiones,9,9,1
indicadores,simplificar,1,1,1
indicadores,subtitulo_nombre,2,2,1
indicadores,tipo,1,1,1
indicadores,usar_codigos,9,9,1
indicadores,verbose,1,1,1
indicadores,zoom,1,1,1
valores,edicion,4,4,1
valores,ediciones,3,3,1
valores,etiquetas,1,1,1
valores,expand_zoom,1,1,1
valores,facetear,1,1,1
valores,gt,1,1,1
valores,incluir_peru,4,4,1
valores,indicador,3,3,1
valores,indicadores,3,3,1
valores,jitter,1,1,1
valores,jitter_height,1,1,1
valores,jitter_width,1,1,1
valores,label_indicador,2,2,1
valores,largo,1,1,1
valores,linea_promedio,1,1,1
valores,mapa_sf,1,1,1
valores,mostrar_leyenda,4,4,1
valores,mostrar_puntos,1,1,1
valores,paleta,6,6,1
valores,pilar,6,6,1
valores,regiones,7,7,1
valores,rel_min_height,1,1,1
valores,scale,1,1,1
valores,simplificar,1,1,1
valores,subtitulo_nombre,1,1,1
valores,tipo,1,1,1
valores,usar_codigos,7,7,1
valores,verbose,1,1,1
valores,zoom,1,1,1
